epoch,train_loss,val_loss
1,233.974,38.1868
2,124.424,116.924
3,111.962,184.909
4,90.9839,185.725
5,94.7671,88.2569
6,82.5167,124.774
7,74.0007,86.4832
8,99.4643,36.4827
9,117.978,42.6382
10,103.739,27.2361
11,101.523,70.0104
12,90.4579,39.8914
13,81.4121,10.0302
14,91.8534,13.7486
15,68.7122,18.3137
16,73.8312,84.5902
17,68.563,114.972
18,94.9166,32.2524
19,58.2555,165.68
20,58.5568,78.7347
21,75.1305,85.5372
22,83.1417,16.7531
23,88.5072,135.795
24,62.0421,57.2257
25,83.0675,205.047
26,64.6999,41.9933
27,72.1599,209.194
28,56.3313,48.8826
29,63.929,64.8288
30,88.4455,79.7409
31,56.9682,264.34
32,71.6105,48.3304
33,65.9798,12.7649
34,88.7793,120.772
35,69.4177,25.4063
36,46.9945,40.6573
37,59.4462,50.2976
38,54.8517,53.4972
39,61.8206,114.409
40,57.8184,29.44
41,54.1268,12.9224
42,75.0903,46.3025
43,52.1104,65.8362
44,53.4406,26.4894
45,66.5018,13.1595
46,44.7163,20.192
47,48.9256,68.617
48,57.51,37.0079
49,60.8911,36.5421
50,52.7291,20.3896
51,52.1093,26.7307
52,56.493,23.968
53,42.159,74.6191
54,56.738,44.2816
55,68.1451,13.8295
56,59.736,19.2194
57,56.8806,18.9075
58,45.6455,64.9088
59,48.1594,124.379
60,50.8447,69.0803
61,48.8561,38.3647
62,47.9484,98.607
63,51.2477,57.0691
64,57.5024,47.7849
65,50.1586,26.014
66,39.5879,76.7072
67,41.5692,82.1218
68,40.6107,16.3227
69,46.4161,17.2658
70,52.6517,22.8444
71,53.1935,49.4256
72,42.7621,29.4051
73,56.2399,55.4204
74,41.1138,76.8519
75,48.0192,49.1983
76,50.6248,21.3808
77,38.1897,68.4988
78,32.0708,14.7131
79,47.9813,67.836
80,46.6605,179.993
81,64.3807,23.1108
82,49.0522,120.973
83,38.0326,98.8335
84,47.3216,106.14
85,34.8769,119.852
86,35.6555,36.3606
87,36.0795,37.7791
88,65.1485,34.2505
89,34.1564,39.0549
90,47.1985,62.5188
91,40.742,123.489
92,36.118,151.419
93,42.7913,21.2705
94,46.5946,15.5276
95,34.4483,20.7165
96,33.9844,18.4583
97,37.4141,89.4709
98,32.1561,20.9577
99,50.2488,31.3812
100,36.5642,57.9818
101,41.874,52.0839
102,31.2319,98.2848
103,51.8446,146.865
104,46.4431,19.1444
105,43.4876,31.6422
106,34.8628,61.1988
107,43.1463,83.154
108,36.8329,42.7968
109,30.9845,60.2332
110,37.3416,16.0072
111,46.3522,31.1433
112,40.413,49.8621
113,42.303,26.7865
114,38.0435,34.6371
115,39.6447,78.013
116,56.5631,23.6178
117,38.5752,16.7111
118,42.5326,39.3912
119,29.9388,31.7317
120,35.0559,41.9554
121,24.2253,33.7607
122,33.2916,40.5941
123,35.4522,128.397
124,41.64,56.8405
125,32.9824,17.5312
126,39.0289,61.3344
127,38.3534,101.342
128,29.8753,31.6301
129,29.3461,30.4209
130,34.661,38.4507
131,34.5984,18.7315
132,20.735,17.1801
133,30.1275,38.0668
134,38.2343,124.572
135,39.944,22.0283
136,31.9609,43.8077
137,33.553,23.5693
138,38.0525,29.8099
139,32.9127,45.4988
140,32.8363,49.9946
141,28.4764,33.7432
142,31.0166,52.2431
143,31.9778,19.4876
144,30.9965,17.2334
145,36.7099,78.1194
146,35.0488,38.8703
147,32.6865,69.269
148,26.7512,57.57
149,28.4751,19.9546
150,30.9331,22.4306
151,29.5443,21.4882
152,47.3353,47.2473
153,33.1805,25.0672
154,29.1467,44.3812
155,26.9165,16.127
156,27.8392,17.4095
157,27.4627,34.675
158,28.1009,42.0111
159,24.7877,20.9766
160,23.0145,47.2657
161,24.3332,35.899
162,31.4275,39.0599
163,29.5122,24.8697
164,32.4263,35.0073
165,28.2111,59.3531
166,26.2348,147.804
167,27.9708,86.972
168,29.1083,39.5041
169,27.4826,35.7671
170,28.0121,26.2708
171,24.2795,41.0169
172,29.2235,22.707
173,30.8979,28.9817
174,22.4743,20.6073
175,27.1454,30.6337
176,20.5367,31.1766
177,21.4464,38.4794
178,26.8297,61.4628
179,22.6512,67.2407
180,30.3031,19.5708
181,19.7134,46.9445
182,26.9165,27.0286
183,33.0801,68.7557
184,31.0073,50.5267
185,24.8387,33.7293
186,19.5549,45.4224
187,23.4018,29.2303
188,23.6605,26.9734
189,27.2547,35.4917
190,23.2182,22.8611
191,31.8967,46.2731
192,18.1097,33.2337
193,30.1929,44.1399
194,27.0635,85.1489
195,20.716,67.7802
196,31.168,28.1172
197,20.5451,23.2059
198,22.067,16.4042
199,20.3793,19.3065
200,28.2738,103.653
201,19.0715,24.1326
202,22.3497,29.5146
203,27.8432,32.3285
204,26.012,16.9534
205,17.3289,28.9899
206,20.5265,100.795
207,30.972,22.5648
208,16.2717,25.3377
209,18.5895,17.6941
210,20.4831,38.1625
211,24.3558,25.3545
212,24.6877,24.3772
213,20.0374,16.7562
214,33.5764,56.2019
215,18.7055,31.13
216,14.9863,14.922
217,20.5034,50.3801
218,27.2122,19.7478
219,25.0982,68.7604
220,20.3558,19.5031
221,16.5446,15.1106
222,23.7152,22.973
223,19.7561,43.0505
224,19.6761,13.7141
225,20.4706,24.7908
226,18.2782,31.9903
227,21.8361,23.2353
228,20.5751,24.5631
229,20.0076,53.32
230,17.5663,22.0574
231,22.3776,24.5846
232,18.1573,20.7997
233,19.7704,27.5574
234,27.8727,30.5705
235,23.6761,53.2513
236,23.5959,59.9498
237,20.0753,46.4215
238,18.9789,23.7562
239,18.1282,20.1735
240,21.8755,56.0429
241,21.8744,27.3588
242,17.091,105.234
243,20.0485,23.8619
244,16.6106,46.5663
245,15.8052,16.558
246,18.7771,16.219
247,19.6486,21.8079
248,18.2368,31.5892
249,17.0638,21.3017
250,15.5105,25.0199
251,20.361,19.6807
252,15.3899,20.6181
253,19.8588,18.4875
254,18.0204,17.0747
255,17.1681,21.1992
256,14.7537,18.4764
257,13.2958,19.2483
258,18.0925,62.3916
259,21.352,26.9639
260,15.3042,13.722
261,22.3109,15.1801
262,15.323,22.6102
263,18.6967,19.1094
264,16.1534,39.1942
265,22.1794,19.6369
266,15.4036,25.7686
267,13.9359,42.1948
268,15.1168,32.2007
269,20.5633,51.4679
270,19.8951,21.116
271,15.0908,16.3843
272,17.5123,18.6608
273,15.0837,40.9491
274,15.4185,58.2158
275,14.7542,25.702
276,19.3988,23.6173
277,12.5494,23.3834
278,17.8372,37.0162
279,15.005,51.1599
280,17.0631,30.7563
281,11.1776,40.0066
282,13.5686,25.7953
283,14.0605,23.1963
284,14.0996,16.3081
285,10.5302,23.759
286,14.906,18.1966
287,15.5552,30.9364
288,16.5807,39.5845
289,12.3909,24.747
290,13.8423,20.0079
291,16.0306,30.6654
292,13.6501,35.4405
293,17.5965,32.8537
294,21.8404,18.9088
295,12.4033,21.4806
296,12.8866,16.9796
297,11.7177,78.7727
298,16.4672,34.4061
299,13.656,38.5266
300,15.1896,19.8428
301,13.4703,28.5313
302,9.94981,42.6668
303,17.4208,61.6232
304,11.9914,17.9926
305,11.7739,17.8926
306,11.0646,27.6986
307,14.4027,23.67
308,12.1189,10.6079
309,15.4457,24.1288
310,11.9735,17.8844
311,10.2826,19.0843
312,14.0112,19.365
313,11.7335,17.5118
314,12.2748,14.2321
315,10.2771,28.7466
316,14.4683,59.8481
317,12.9965,20.4905
318,10.9697,15.709
319,10.5417,13.5755
320,10.4328,30.5144
321,10.9336,24.5809
322,12.4305,16.9832
323,12.4053,14.9119
324,11.3382,24.3176
325,8.45803,12.0167
326,11.3184,27.6718
327,12.9882,16.8797
328,11.112,34.9471
329,10.8831,15.8897
330,12.422,13.4846
331,13.2255,16.817
332,8.93973,17.921
333,8.9107,14.7444
334,10.5376,13.3515
335,11.715,12.565
336,10.7354,10.3184
337,13.2942,9.07009
338,10.3338,20.5906
339,10.3067,14.7426
340,10.8582,13.5252
341,10.0394,17.3273
342,12.2964,16.1678
343,8.33437,21.1563
344,8.01056,17.6808
345,8.66955,23.6519
346,12.3681,12.1774
347,9.37097,26.993
348,9.24549,25.5129
349,10.4281,10.5426
350,12.5371,21.4991
351,8.30189,21.7201
352,9.22399,16.0744
353,8.16491,13.8596
354,9.93602,12.948
355,8.46863,12.7584
356,10.3719,15.055
357,7.763,21.5879
358,7.91349,13.981
359,7.94427,19.541
360,12.1085,15.3532
361,6.58274,22.6567
362,8.34985,10.4078
363,8.18964,14.758
364,7.23252,15.7489
365,10.0333,11.815
366,7.36825,14.749
367,6.29239,18.6775
368,8.49759,10.1509
369,7.77353,23.2907
370,9.82514,14.5255
371,8.97528,12.3086
372,6.29509,9.38764
373,7.51787,11.3464
374,8.96768,23.0298
375,10.6685,39.6803
376,8.20209,23.3321
377,9.49902,18.4201
378,6.45134,28.5538
379,8.85217,31.0199
380,6.61035,16.3695
381,8.462,27.6846
382,10.5517,28.8458
383,9.71614,22.3377
384,7.0891,10.9402
385,8.82763,11.628
386,6.00002,12.6669
387,8.66697,7.24787
388,6.55311,8.60956
389,10.0509,10.0084
390,8.72297,13.4029
391,6.26345,11.1119
392,8.61507,13.2058
393,6.10698,8.11029
394,7.01179,24.1202
395,8.29984,9.41593
396,8.91698,11.3657
397,5.51749,17.1981
398,8.50629,18.3522
399,8.41336,14.7651
400,7.78628,12.7756
401,6.41208,10.1512
402,8.6574,20.4474
403,7.44578,12.2744
404,8.0165,11.8198
405,8.46325,22.6066
406,5.87498,25.3098
